Year,5%,Mean,95%
1950.00,8.11699,8.13261,8.14116
1951.00,8.11680,8.13283,8.14131
1952.00,8.11590,8.13242,8.14111
1953.00,8.11562,8.13211,8.14118
1954.00,8.11599,8.13227,8.14088
1955.00,8.11502,8.13146,8.14012
1956.00,8.11465,8.13143,8.13913
1957.00,8.11520,8.13136,8.13875
1958.00,8.11481,8.13045,8.13816
1959.00,8.11422,8.13010,8.13896
1960.00,8.11341,8.12988,8.13957
1961.00,8.11330,8.12894,8.13829
1962.00,8.11354,8.12882,8.13835
1963.00,8.11370,8.12896,8.13845
1964.00,8.11325,8.12836,8.13681
1965.00,8.11102,8.12731,8.13567
1966.00,8.10992,8.12658,8.13564
1967.00,8.11027,8.12583,8.13496
1968.00,8.10954,8.12510,8.13373
1969.00,8.10772,8.12434,8.13329
1970.00,8.10690,8.12292,8.13213
1971.00,8.10660,8.12178,8.13122
1972.00,8.10570,8.12100,8.13107
1973.00,8.10404,8.11936,8.12945
1974.00,8.10224,8.11796,8.12788
1975.00,8.10125,8.11723,8.12662
1976.00,8.10040,8.11600,8.12558
1977.00,8.09972,8.11527,8.12470
1978.00,8.09852,8.11398,8.12355
1979.00,8.09696,8.11238,8.12264
1980.00,8.09532,8.11105,8.12116
1981.00,8.09450,8.10932,8.11933
1982.00,8.09340,8.10831,8.11811
1983.00,8.09238,8.10770,8.11723
1984.00,8.09054,8.10598,8.11593
1985.00,8.08870,8.10404,8.11406
1986.00,8.08808,8.10282,8.11276
1987.00,8.08668,8.10150,8.11151
1988.00,8.08500,8.09947,8.10936
1989.00,8.08242,8.09724,8.10737
1990.00,8.08070,8.09590,8.10595
1991.00,8.07935,8.09489,8.10497
1992.00,8.07996,8.09467,8.10501
1993.00,8.07768,8.09328,8.10341
1994.00,8.07564,8.09153,8.10130
1995.00,8.07396,8.08960,8.09983
1996.00,8.07186,8.08794,8.09817
1997.00,8.07102,8.08685,8.09718
1998.00,8.07002,8.08500,8.09590
1999.00,8.06777,8.08306,8.09363
2000.00,8.06565,8.08156,8.09197
2001.00,8.06398,8.07951,8.08989
2002.00,8.06263,8.07803,8.08831
2003.00,8.06049,8.07627,8.08661
2004.00,8.05780,8.07430,8.08457
2005.00,8.05690,8.07270,8.08277
2006.00,8.05640,8.07125,8.08106
2007.00,8.05455,8.06943,8.07943
2008.00,8.05208,8.06774,8.07768
2009.00,8.04966,8.06566,8.07647
2010.00,8.04749,8.06385,8.07500
2011.00,8.04632,8.06195,8.07276
2012.00,8.04492,8.06022,8.07076
2013.00,8.04288,8.05830,8.06821
2014.00,8.04038,8.05609,8.06627
