Year,5%,Mean,95%
2015.00,8.03831,8.05133,8.06436
2016.00,8.03664,8.04956,8.06247
2017.00,8.03371,8.04713,8.06054
2018.00,8.03124,8.04491,8.05859
2019.00,8.02832,8.04199,8.05567
2020.00,8.02540,8.03925,8.05310
2021.00,8.02452,8.03766,8.05081
2022.00,8.02186,8.03560,8.04934
2023.00,8.01946,8.03333,8.04719
2024.00,8.01619,8.03010,8.04401
2025.00,8.01442,8.02826,8.04211
2026.00,8.01314,8.02680,8.04046
2027.00,8.01231,8.02529,8.03827
2028.00,8.00935,8.02288,8.03640
2029.00,8.00769,8.02126,8.03482
2030.00,8.00585,8.01942,8.03299
2031.00,8.00442,8.01813,8.03184
2032.00,8.00427,8.01743,8.03058
2033.00,8.00340,8.01639,8.02937
2034.00,8.00142,8.01460,8.02777
2035.00,7.99985,8.01350,8.02715
2036.00,7.99920,8.01274,8.02628
2037.00,7.99910,8.01223,8.02535
2038.00,7.99926,8.01219,8.02512
2039.00,7.99869,8.01154,8.02440
2040.00,7.99798,8.01090,8.02382
2041.00,7.99742,8.01036,8.02330
2042.00,7.99821,8.01077,8.02332
2043.00,7.99844,8.01099,8.02353
2044.00,7.99753,8.01020,8.02288
2045.00,7.99640,8.00948,8.02256
2046.00,7.99697,8.01003,8.02309
2047.00,7.99762,8.01008,8.02253
2048.00,7.99765,8.01019,8.02272
2049.00,7.99758,8.01005,8.02253
2050.00,7.99819,8.01068,8.02316
2051.00,7.99883,8.01123,8.02363
2052.00,7.99906,8.01114,8.02322
2053.00,7.99894,8.01138,8.02381
2054.00,7.99804,8.01084,8.02364
2055.00,7.99930,8.01150,8.02371
2056.00,7.99980,8.01194,8.02408
2057.00,7.99946,8.01205,8.02464
2058.00,7.99941,8.01250,8.02559
2059.00,8.00080,8.01341,8.02602
2060.00,8.00158,8.01398,8.02637
2061.00,8.00216,8.01435,8.02655
2062.00,8.00186,8.01465,8.02744
2063.00,8.00267,8.01506,8.02746
2064.00,8.00403,8.01611,8.02820
2065.00,8.00384,8.01618,8.02852
2066.00,8.00415,8.01654,8.02894
2067.00,8.00405,8.01675,8.02945
2068.00,8.00530,8.01742,8.02953
2069.00,8.00665,8.01879,8.03092
2070.00,8.00679,8.01890,8.03101
2071.00,8.00702,8.01952,8.03203
2072.00,8.00710,8.02013,8.03317
2073.00,8.00749,8.02053,8.03358
2074.00,8.00908,8.02155,8.03402
2075.00,8.00974,8.02191,8.03409
2076.00,8.00979,8.02239,8.03498
2077.00,8.01013,8.02292,8.03570
2078.00,8.01144,8.02379,8.03613
2079.00,8.01357,8.02525,8.03693
2080.00,8.01437,8.02604,8.03772
2081.00,8.01425,8.02637,8.03850
2082.00,8.01341,8.02600,8.03860
2083.00,8.01434,8.02679,8.03924
2084.00,8.01567,8.02795,8.04024
2085.00,8.01657,8.02892,8.04127
2086.00,8.01726,8.02971,8.04216
2087.00,8.01895,8.03089,8.04282
2088.00,8.01959,8.03152,8.04344
2089.00,8.01956,8.03172,8.04388
2090.00,8.01940,8.03211,8.04481
2091.00,8.02058,8.03334,8.04610
2092.00,8.02300,8.03489,8.04678
2093.00,8.02412,8.03577,8.04742
2094.00,8.02407,8.03633,8.04859
2095.00,8.02461,8.03715,8.04969
2096.00,8.02584,8.03823,8.05062
2097.00,8.02763,8.03931,8.05099
2098.00,8.02852,8.04034,8.05215
2099.00,8.02834,8.04086,8.05338
