"scen","rEVPI","delta_t_crit_K_min","delta_t_crit_K_max","delta_t_crit_r_min","delta_t_crit_r_max","k"
"SSP1_1_9",0.0228425655006168,1.6,2.5,2.05,2.5,2
"SSP1_2_6",0.0166044358759723,1.6,2.5,2.05,2.5,2
"SSP2_4_5",0.0382078383883841,1.6,2.5,2.05,2.5,2
"SSP3_7_0",0.040384063347673,1.6,2.5,2.05,2.5,2
"SSP5_8_5",0.0426170872418765,1.6,2.5,2.05,2.5,2
"SSP1_1_9",3.5819887103044e-08,1.75,1.9,1,1.15,2
"SSP1_2_6",0.000275957912956663,1.75,1.9,1,1.15,2
"SSP2_4_5",0.000845788100465064,1.75,1.9,1,1.15,2
"SSP3_7_0",0.000899206326995646,1.75,1.9,1,1.15,2
"SSP5_8_5",0.000903338383212625,1.75,1.9,1,1.15,2
"SSP1_1_9",0.00749959195969698,1.75,2.35,1.15,1.9,2
"SSP1_2_6",0.00449467144506768,1.75,2.35,1.15,1.9,2
"SSP2_4_5",0.0105898348075963,1.75,2.35,1.15,1.9,2
"SSP3_7_0",0.0100487205053487,1.75,2.35,1.15,1.9,2
"SSP5_8_5",0.0100627134103015,1.75,2.35,1.15,1.9,2
"SSP1_1_9",8.97624277960206e-07,1,1,1.45,2.2,2
"SSP1_2_6",0.000676564660902469,1,1,1.45,2.2,2
"SSP2_4_5",0.000259300042262535,1,1,1.45,2.2,2
"SSP3_7_0",0.000698792345152812,1,1,1.45,2.2,2
"SSP5_8_5",0.000762509570997184,1,1,1.45,2.2,2
"SSP1_1_9",0.000465325988377567,1.9,2.05,1,1.45,2
"SSP1_2_6",0.000652771996110354,1.9,2.05,1,1.45,2
"SSP2_4_5",0.00438141254807454,1.9,2.05,1,1.45,2
"SSP3_7_0",0.00422007700179489,1.9,2.05,1,1.45,2
"SSP5_8_5",0.00414598902446773,1.9,2.05,1,1.45,2
"SSP1_1_9",0.000640696786955223,1.75,2.5,1,1.6,2
"SSP1_2_6",0.00256904079172294,1.75,2.5,1,1.6,2
"SSP2_4_5",0.00974578475666144,1.75,2.5,1,1.6,2
"SSP3_7_0",0.0111992135177672,1.75,2.5,1,1.6,2
"SSP5_8_5",0.0110971464371099,1.75,2.5,1,1.6,2
"SSP1_1_9",0.00326501135195638,1.9,2.05,2.05,2.35,2
"SSP1_2_6",0.0027720790221966,1.9,2.05,2.05,2.35,2
"SSP2_4_5",0.00433639428306325,1.9,2.05,2.05,2.35,2
"SSP3_7_0",0.00608351247375554,1.9,2.05,2.05,2.35,2
"SSP5_8_5",0.00588893137061991,1.9,2.05,2.05,2.35,2
"SSP1_1_9",0.0109122056748937,2.05,2.5,1.45,2.5,2
"SSP1_2_6",0.0105756713700508,2.05,2.5,1.45,2.5,2
"SSP2_4_5",0.0110320326838974,2.05,2.5,1.45,2.5,2
"SSP3_7_0",0.0203327582723416,2.05,2.5,1.45,2.5,2
"SSP5_8_5",0.0239720823619812,2.05,2.5,1.45,2.5,2
"SSP1_1_9",0.00197888245907549,1.3,1.6,2.35,2.5,2
"SSP1_2_6",0.00190406633483295,1.3,1.6,2.35,2.5,2
"SSP2_4_5",0.00967192255788278,1.3,1.6,2.35,2.5,2
"SSP3_7_0",0.00905829760718357,1.3,1.6,2.35,2.5,2
"SSP5_8_5",0.00855601585500171,1.3,1.6,2.35,2.5,2
"SSP1_1_9",0.00494842737263278,2.05,2.35,1.6,2.05,2
"SSP1_2_6",0.0027237053727113,2.05,2.35,1.6,2.05,2
"SSP2_4_5",0.00257364093466264,2.05,2.35,1.6,2.05,2
"SSP3_7_0",0.00375352936040507,2.05,2.35,1.6,2.05,2
"SSP5_8_5",0.00404485461087909,2.05,2.35,1.6,2.05,2
"SSP1_1_9",0.0142416047530868,1.75,2.35,1.9,2.35,2
"SSP1_2_6",0.0102738003950607,1.75,2.35,1.9,2.35,2
"SSP2_4_5",0.022555034532117,1.75,2.35,1.9,2.35,2
"SSP3_7_0",0.0290545683704455,1.75,2.35,1.9,2.35,2
"SSP5_8_5",0.0324597833052114,1.75,2.35,1.9,2.35,2
"SSP1_1_9",1.31654558787532e-06,1,1,1.3,2.2,2
"SSP1_2_6",0.00273175981276894,1,1,1.3,2.2,2
"SSP2_4_5",0.000577456639160308,1,1,1.3,2.2,2
"SSP3_7_0",0.000821669397971122,1,1,1.3,2.2,2
"SSP5_8_5",0.000905210485523928,1,1,1.3,2.2,2
"SSP1_1_9",0.0129037550726116,2.2,2.5,1.3,2.5,2
"SSP1_2_6",0.0115235547057594,2.2,2.5,1.3,2.5,2
"SSP2_4_5",0.0156737182448852,2.2,2.5,1.3,2.5,2
"SSP3_7_0",0.0274103198537504,2.2,2.5,1.3,2.5,2
"SSP5_8_5",0.0308911529543023,2.2,2.5,1.3,2.5,2
"SSP1_1_9",0.0023564925058101,2.2,2.2,1.3,1.75,2
"SSP1_2_6",0.00134521462334498,2.2,2.2,1.3,1.75,2
"SSP2_4_5",0.00410168555901355,2.2,2.2,1.3,1.75,2
"SSP3_7_0",0.00392225339594825,2.2,2.2,1.3,1.75,2
"SSP5_8_5",0.00397848856104106,2.2,2.2,1.3,1.75,2
"SSP1_1_9",0.0284454490675599,1.45,2.5,1.6,2.35,2
"SSP1_2_6",0.0240652384120799,1.45,2.5,1.6,2.35,2
"SSP2_4_5",0.0345366326694638,1.45,2.5,1.6,2.35,2
"SSP3_7_0",0.036116123459969,1.45,2.5,1.6,2.35,2
"SSP5_8_5",0.0378699810406157,1.45,2.5,1.6,2.35,2
"SSP1_1_9",0.00101155453146429,2.2,2.5,1.6,1.75,2
"SSP1_2_6",0.000431562043331835,2.2,2.5,1.6,1.75,2
"SSP2_4_5",0.000859852020222659,2.2,2.5,1.6,1.75,2
"SSP3_7_0",0.000750988508592524,2.2,2.5,1.6,1.75,2
"SSP5_8_5",0.00075168342519504,2.2,2.5,1.6,1.75,2
"SSP1_1_9",4.55916261226982e-05,1.3,1.3,1.45,2.5,2
"SSP1_2_6",5.17197936311202e-05,1.3,1.3,1.45,2.5,2
"SSP2_4_5",0.00165192415463608,1.3,1.3,1.45,2.5,2
"SSP3_7_0",0.00203626483825325,1.3,1.3,1.45,2.5,2
"SSP5_8_5",0.00174798882514026,1.3,1.3,1.45,2.5,2
"SSP1_1_9",0.00197683931269198,1.3,1.6,1.15,1.9,2
"SSP1_2_6",0.00163252578593022,1.3,1.6,1.15,1.9,2
"SSP2_4_5",0.0111623086038673,1.3,1.6,1.15,1.9,2
