"delta_t_crit_r_test","delta_t_crit_K_test","sigmoid_bool_r_test","sigmoid_bool_K_test","DEP_EFFECT_test","scen_test","delta_t_crit_r","delta_t_crit_K","sigmoid_bool_r","sigmoid_bool_K","DEP_EFFECT","scen","max_value","r_EVPI","stationary_test"
1,1,TRUE,TRUE,1,"SSP1_1_9",1,1,TRUE,TRUE,1,"SSP1_1_9",36.2491517156374,0.000426471007249369,2
1,1,TRUE,TRUE,1,"SSP1_2_6",1,1,TRUE,TRUE,1,"SSP1_2_6",34.2092321239154,0.00688480414063865,2
1,1,TRUE,TRUE,1,"SSP2_4_5",1,1,TRUE,TRUE,1,"SSP2_4_5",32.0961086602234,0.060159142355507,4
1,1,TRUE,TRUE,1,"SSP3_7_0",1,1,TRUE,TRUE,1,"SSP3_7_0",29.5905696411211,0.0959296053079886,4
1,1,TRUE,TRUE,1,"SSP5_8_5",1,1,TRUE,TRUE,1,"SSP5_8_5",27.4844402072966,0.130848371600723,4
1,1.15,TRUE,TRUE,1,"SSP1_1_9",1,1.15,TRUE,TRUE,1,"SSP1_1_9",37.0355252013637,5.92882362290715e-06,2
1,1.15,TRUE,TRUE,1,"SSP1_2_6",1,1.15,TRUE,TRUE,1,"SSP1_2_6",35.6067847393922,0.00112992725074628,2
1,1.15,TRUE,TRUE,1,"SSP2_4_5",1,1.15,TRUE,TRUE,1,"SSP2_4_5",33.5908636236588,0.0495445244870969,4
1,1.15,TRUE,TRUE,1,"SSP3_7_0",1,1.15,TRUE,TRUE,1,"SSP3_7_0",31.8316905699643,0.0916980012749249,4
1,1.15,TRUE,TRUE,1,"SSP5_8_5",1,1.15,TRUE,TRUE,1,"SSP5_8_5",30.1556790496088,0.101314846661367,4
1,1.3,TRUE,TRUE,1,"SSP1_1_9",1,1.3,TRUE,TRUE,1,"SSP1_1_9",37.5355966668793,0.000184990501172017,3
1,1.3,TRUE,TRUE,1,"SSP1_2_6",1,1.3,TRUE,TRUE,1,"SSP1_2_6",36.4621618586995,0.000783262906378955,4
1,1.3,TRUE,TRUE,1,"SSP2_4_5",1,1.3,TRUE,TRUE,1,"SSP2_4_5",34.765733288557,0.0309817724909149,4
1,1.3,TRUE,TRUE,1,"SSP3_7_0",1,1.3,TRUE,TRUE,1,"SSP3_7_0",33.452179112277,0.069650307527748,4
1,1.3,TRUE,TRUE,1,"SSP5_8_5",1,1.3,TRUE,TRUE,1,"SSP5_8_5",32.1397563767561,0.0776063015189957,4
1,1.45,TRUE,TRUE,1,"SSP1_1_9",1,1.45,TRUE,TRUE,1,"SSP1_1_9",37.6913430221771,6.89689353539428e-05,3
1,1.45,TRUE,TRUE,1,"SSP1_2_6",1,1.45,TRUE,TRUE,1,"SSP1_2_6",36.7848758691366,0.000542548583961496,4
1,1.45,TRUE,TRUE,1,"SSP2_4_5",1,1.45,TRUE,TRUE,1,"SSP2_4_5",35.342394678442,0.0204280204940919,4
1,1.45,TRUE,TRUE,1,"SSP3_7_0",1,1.45,TRUE,TRUE,1,"SSP3_7_0",34.2628646233691,0.0545324055034419,4
1,1.45,TRUE,TRUE,1,"SSP5_8_5",1,1.45,TRUE,TRUE,1,"SSP5_8_5",33.1443263349672,0.0618324365611314,4
1,1.6,TRUE,TRUE,1,"SSP1_1_9",1,1.6,TRUE,TRUE,1,"SSP1_1_9",37.8850349564887,0.000148609512554681,3
1,1.6,TRUE,TRUE,1,"SSP1_2_6",1,1.6,TRUE,TRUE,1,"SSP1_2_6",37.0645248219231,0.000588237367524602,4
1,1.6,TRUE,TRUE,1,"SSP2_4_5",1,1.6,TRUE,TRUE,1,"SSP2_4_5",35.7374602092786,0.0198163289372738,4
1,1.6,TRUE,TRUE,1,"SSP3_7_0",1,1.6,TRUE,TRUE,1,"SSP3_7_0",34.7507117704807,0.0490229146924877,4
1,1.6,TRUE,TRUE,1,"SSP5_8_5",1,1.6,TRUE,TRUE,1,"SSP5_8_5",33.7210168554587,0.0557907503345426,4
1,1.75,TRUE,TRUE,1,"SSP1_1_9",1,1.75,TRUE,TRUE,1,"SSP1_1_9",37.9797108872604,0.000214494033382322,3
1,1.75,TRUE,TRUE,1,"SSP1_2_6",1,1.75,TRUE,TRUE,1,"SSP1_2_6",37.1940334481289,0.000628596755450131,4
1,1.75,TRUE,TRUE,1,"SSP2_4_5",1,1.75,TRUE,TRUE,1,"SSP2_4_5",35.9402372268021,0.0185883908487891,4
1,1.75,TRUE,TRUE,1,"SSP3_7_0",1,1.75,TRUE,TRUE,1,"SSP3_7_0",35.0089626952276,0.0465826174588375,4
1,1.75,TRUE,TRUE,1,"SSP5_8_5",1,1.75,TRUE,TRUE,1,"SSP5_8_5",34.0304032454935,0.0529603213902636,4
1,1.9,TRUE,TRUE,1,"SSP1_1_9",1,1.9,TRUE,TRUE,1,"SSP1_1_9",38.0266505233564,0.000151009180537057,3
1,1.9,TRUE,TRUE,1,"SSP1_2_6",1,1.9,TRUE,TRUE,1,"SSP1_2_6",37.2609754215753,0.000829939857631809,4
1,1.9,TRUE,TRUE,1,"SSP2_4_5",1,1.9,TRUE,TRUE,1,"SSP2_4_5",36.036006719928,0.0181057355379581,4
1,1.9,TRUE,TRUE,1,"SSP3_7_0",1,1.9,TRUE,TRUE,1,"SSP3_7_0",35.1263894888182,0.0453179027641265,4
1,1.9,TRUE,TRUE,1,"SSP5_8_5",1,1.9,TRUE,TRUE,1,"SSP5_8_5",34.1690559899093,0.0516513764944459,4
1,2.05,TRUE,TRUE,1,"SSP1_1_9",1,2.05,TRUE,TRUE,1,"SSP1_1_9",38.0501083894412,0.000294585938769815,3
1,2.05,TRUE,TRUE,1,"SSP1_2_6",1,2.05,TRUE,TRUE,1,"SSP1_2_6",37.2969330791346,0.000740027197671533,2
1,2.05,TRUE,TRUE,1,"SSP2_4_5",1,2.05,TRUE,TRUE,1,"SSP2_4_5",36.0805119186126,0.0178221577805604,4
1,2.05,TRUE,TRUE,1,"SSP3_7_0",1,2.05,TRUE,TRUE,1,"SSP3_7_0",35.1851211202154,0.0449685081599831,4
1,2.05,TRUE,TRUE,1,"SSP5_8_5",1,2.05,TRUE,TRUE,1,"SSP5_8_5",34.2406340664899,0.0507635882136715,4
1,2.2,TRUE,TRUE,1,"SSP1_1_9",1,2.2,TRUE,TRUE,1,"SSP1_1_9",38.0616499583,0.000377581645534166,2
1,2.2,TRUE,TRUE,1,"SSP1_2_6",1,2.2,TRUE,TRUE,1,"SSP1_2_6",37.3093472468439,0.000670568914767458,2
