"delta_t_crit_r","delta_t_crit_K","sigmoid_bool_r","sigmoid_bool_K","DEP_EFFECT","scen","max_value","test_value","experiment","scen_test"
2.5,1,TRUE,TRUE,1,"SSP1_1_9",13.5238585350788,13.5238585350788,"experiment1","best non-adaptive"
2.5,2.5,TRUE,TRUE,1,"SSP1_1_9",14.7415253335472,13.8049914055709,"experiment1","best non-adaptive"
2.5,1,TRUE,TRUE,1,"SSP1_2_6",13.1386141725145,13.1386141725145,"experiment1","best non-adaptive"
2.5,2.5,TRUE,TRUE,1,"SSP1_2_6",14.7076149799364,13.5309285573012,"experiment1","best non-adaptive"
2.5,1,TRUE,TRUE,1,"SSP2_4_5",12.8770294248905,12.8770294248905,"experiment1","best non-adaptive"
2.5,2.5,TRUE,TRUE,1,"SSP2_4_5",14.5968387019918,13.2295650937309,"experiment1","best non-adaptive"
2.5,1,TRUE,TRUE,1,"SSP3_7_0",12.4534803045134,12.4538717645631,"experiment1","best non-adaptive"
2.5,2.5,TRUE,TRUE,1,"SSP3_7_0",14.4845650956494,13.100644694434,"experiment1","best non-adaptive"
2.5,1,TRUE,TRUE,1,"SSP5_8_5",11.9132393748186,11.9135406808223,"experiment1","best non-adaptive"
2.5,2.5,TRUE,TRUE,1,"SSP5_8_5",14.3001819028155,12.8446301723581,"experiment1","best non-adaptive"
1,1,TRUE,TRUE,1,"SSP1_1_9",13.447202535105,13.447202535105,"experiment2","best non-adaptive"
2.5,1,TRUE,TRUE,1,"SSP1_1_9",13.5238585350788,13.5238177814171,"experiment2","best non-adaptive"
1,2.5,TRUE,TRUE,1,"SSP1_1_9",14.0234509113488,13.6926502799723,"experiment2","best non-adaptive"
2.5,2.5,TRUE,TRUE,1,"SSP1_1_9",14.7415253335472,13.805027830595,"experiment2","best non-adaptive"
1,1,TRUE,TRUE,1,"SSP1_2_6",13.1956036333561,13.1956036333561,"experiment2","best non-adaptive"
2.5,1,TRUE,TRUE,1,"SSP1_2_6",13.1386141725145,13.0633593010167,"experiment2","best non-adaptive"
1,2.5,TRUE,TRUE,1,"SSP1_2_6",13.9392797621557,13.6072398466401,"experiment2","best non-adaptive"
2.5,2.5,TRUE,TRUE,1,"SSP1_2_6",14.7076149799364,13.7947352304974,"experiment2","best non-adaptive"
1,1,TRUE,TRUE,1,"SSP2_4_5",12.9029838973937,12.851199514748,"experiment2","best non-adaptive"
2.5,1,TRUE,TRUE,1,"SSP2_4_5",12.8770294248905,12.8770294248905,"experiment2","best non-adaptive"
1,2.5,TRUE,TRUE,1,"SSP2_4_5",13.7845164239924,13.1071210317218,"experiment2","best non-adaptive"
2.5,2.5,TRUE,TRUE,1,"SSP2_4_5",14.5968387019918,13.2295650937309,"experiment2","best non-adaptive"
1,1,TRUE,TRUE,1,"SSP3_7_0",12.6791023325485,12.6791023325485,"experiment2","best non-adaptive"
2.5,1,TRUE,TRUE,1,"SSP3_7_0",12.4534803045134,12.0852078966764,"experiment2","best non-adaptive"
1,2.5,TRUE,TRUE,1,"SSP3_7_0",13.6969191016596,13.1703700641054,"experiment2","best non-adaptive"
2.5,2.5,TRUE,TRUE,1,"SSP3_7_0",14.4845650956494,13.2332156168716,"experiment2","best non-adaptive"
1,1,TRUE,TRUE,1,"SSP5_8_5",12.3426096315839,12.3426096315839,"experiment2","best non-adaptive"
2.5,1,TRUE,TRUE,1,"SSP5_8_5",11.9132393748186,11.5191128602402,"experiment2","best non-adaptive"
1,2.5,TRUE,TRUE,1,"SSP5_8_5",13.5572151631023,13.011020391208,"experiment2","best non-adaptive"
2.5,2.5,TRUE,TRUE,1,"SSP5_8_5",14.3001819028155,12.9666139969211,"experiment2","best non-adaptive"
1,1,TRUE,TRUE,1,"SSP1_1_9",13.447202535105,13.447202535105,"experiment3","best non-adaptive"
1.5,1,TRUE,TRUE,1,"SSP1_1_9",13.518031106176,13.5180161065858,"experiment3","best non-adaptive"
2,1,TRUE,TRUE,1,"SSP1_1_9",13.5232029326066,13.5231670360822,"experiment3","best non-adaptive"
2.5,1,TRUE,TRUE,1,"SSP1_1_9",13.5238585350788,13.5238177814171,"experiment3","best non-adaptive"
1,1.5,TRUE,TRUE,1,"SSP1_1_9",13.9088895269787,13.6752563126819,"experiment3","best non-adaptive"
1.5,1.5,TRUE,TRUE,1,"SSP1_1_9",13.8884170538122,13.7763375540273,"experiment3","best non-adaptive"
2,1.5,TRUE,TRUE,1,"SSP1_1_9",13.8926546652854,13.7855187125415,"experiment3","best non-adaptive"
2.5,1.5,TRUE,TRUE,1,"SSP1_1_9",13.8939387952044,13.7862629087661,"experiment3","best non-adaptive"
1,2,TRUE,TRUE,1,"SSP1_1_9",14.0139654741067,13.6916341979405,"experiment3","best non-adaptive"
1.5,2,TRUE,TRUE,1,"SSP1_1_9",14.2408990935787,13.7953130125764,"experiment3","best non-adaptive"
2,2,TRUE,TRUE,1,"SSP1_1_9",14.419487671175,13.8016141554959,"experiment3","best non-adaptive"
2.5,2,TRUE,TRUE,1,"SSP1_1_9",14.483458322945,13.8020926354265,"experiment3","best non-adaptive"
1,2.5,TRUE,TRUE,1,"SSP1_1_9",14.0234509113488,13.6926502799723,"experiment3","best non-adaptive"
1.5,2.5,TRUE,TRUE,1,"SSP1_1_9",14.303754986655,13.7962405925898,"experiment3","best non-adaptive"
2,2.5,TRUE,TRUE,1,"SSP1_1_9",14.6405903613756,13.802723515159,"experiment3","best non-adaptive"
2.5,2.5,TRUE,TRUE,1,"SSP1_1_9",14.7415253335472,13.805027830595,"experiment3","best non-adaptive"
1,1,TRUE,TRUE,1,"SSP1_2_6",13.1956036333561,13.1956036333561,"experiment3","best non-adaptive"
1.5,1,TRUE,TRUE,1,"SSP1_2_6",13.1640244400036,13.1393058274825,"experiment3","best non-adaptive"
2,1,TRUE,TRUE,1,"SSP1_2_6",13.1429371764855,13.0741812595078,"experiment3","best non-adaptive"
2.5,1,TRUE,TRUE,1,"SSP1_2_6",13.1386141725145,13.0633593010167,"experiment3","best non-adaptive"
1,1.5,TRUE,TRUE,1,"SSP1_2_6",13.810680205851,13.5746561801098,"experiment3","best non-adaptive"
1.5,1.5,TRUE,TRUE,1,"SSP1_2_6",13.8513599243373,13.7325652017146,"experiment3","best non-adaptive"
2,1.5,TRUE,TRUE,1,"SSP1_2_6",13.8637406858218,13.7483953989635,"experiment3","best non-adaptive"
2.5,1.5,TRUE,TRUE,1,"SSP1_2_6",13.8655656893348,13.7496802827664,"experiment3","best non-adaptive"
1,2,TRUE,TRUE,1,"SSP1_2_6",13.9289692709428,13.6050016443551,"experiment3","best non-adaptive"
1.5,2,TRUE,TRUE,1,"SSP1_2_6",14.2050066098006,13.7718493659881,"experiment3","best non-adaptive"
2,2,TRUE,TRUE,1,"SSP1_2_6",14.3490217966506,13.7902249799516,"experiment3","best non-adaptive"
2.5,2,TRUE,TRUE,1,"SSP1_2_6",14.376235976559,13.7914918245411,"experiment3","best non-adaptive"
1,2.5,TRUE,TRUE,1,"SSP1_2_6",13.9392797621557,13.6072398466401,"experiment3","best non-adaptive"
1.5,2.5,TRUE,TRUE,1,"SSP1_2_6",14.2743510854836,13.7749720602798,"experiment3","best non-adaptive"
2,2.5,TRUE,TRUE,1,"SSP1_2_6",14.5712503915057,13.7921532957931,"experiment3","best non-adaptive"
2.5,2.5,TRUE,TRUE,1,"SSP1_2_6",14.7076149799364,13.7947352304974,"experiment3","best non-adaptive"
1,1,TRUE,TRUE,1,"SSP2_4_5",12.9029838973937,12.9029838973937,"experiment3","best non-adaptive"
1.5,1,TRUE,TRUE,1,"SSP2_4_5",12.8893633545438,12.5198174146549,"experiment3","best non-adaptive"
2,1,TRUE,TRUE,1,"SSP2_4_5",12.878706721885,12.4182892989196,"experiment3","best non-adaptive"
2.5,1,TRUE,TRUE,1,"SSP2_4_5",12.8770294248905,12.406509815782,"experiment3","best non-adaptive"
1,1.5,TRUE,TRUE,1,"SSP2_4_5",13.6337226271135,13.2543295982359,"experiment3","best non-adaptive"
1.5,1.5,TRUE,TRUE,1,"SSP2_4_5",13.6266111230774,13.3506897341335,"experiment3","best non-adaptive"
2,1.5,TRUE,TRUE,1,"SSP2_4_5",13.5981970782136,13.2081779665809,"experiment3","best non-adaptive"
2.5,1.5,TRUE,TRUE,1,"SSP2_4_5",13.5886274184373,13.1915124365269,"experiment3","best non-adaptive"
1,2,TRUE,TRUE,1,"SSP2_4_5",13.7721744990441,13.2834492797174,"experiment3","best non-adaptive"
1.5,2,TRUE,TRUE,1,"SSP2_4_5",14.0992429028921,13.4090328408285,"experiment3","best non-adaptive"
2,2,TRUE,TRUE,1,"SSP2_4_5",14.2650670262534,13.4090069531832,"experiment3","best non-adaptive"
2.5,2,TRUE,TRUE,1,"SSP2_4_5",14.2811315234485,13.3017826168859,"experiment3","best non-adaptive"
1,2.5,TRUE,TRUE,1,"SSP2_4_5",13.7845164239924,13.2855003783926,"experiment3","best non-adaptive"
1.5,2.5,TRUE,TRUE,1,"SSP2_4_5",14.1784209526339,13.4134780012669,"experiment3","best non-adaptive"
2,2.5,TRUE,TRUE,1,"SSP2_4_5",14.4968038126532,13.4260915018371,"experiment3","best non-adaptive"
2.5,2.5,TRUE,TRUE,1,"SSP2_4_5",14.5968387019918,13.4221234009754,"experiment3","best non-adaptive"
1,1,TRUE,TRUE,1,"SSP3_7_0",12.6791023325485,12.6791023325485,"experiment3","best non-adaptive"
1.5,1,TRUE,TRUE,1,"SSP3_7_0",12.5143064406651,12.224755864798,"experiment3","best non-adaptive"
2,1,TRUE,TRUE,1,"SSP3_7_0",12.4554920343646,12.095081886668,"experiment3","best non-adaptive"
2.5,1,TRUE,TRUE,1,"SSP3_7_0",12.4534803045134,12.0852078966764,"experiment3","best non-adaptive"
1,1.5,TRUE,TRUE,1,"SSP3_7_0",13.5324461771293,13.1285153443346,"experiment3","best non-adaptive"
