"delta_t_crit_r","delta_t_crit_K","sigmoid_bool_r","sigmoid_bool_K","DEP_EFFECT","scen","max_value","test_value","experiment","scen_test"
2.5,1,TRUE,TRUE,1,"SSP1_1_9",52.8892608773976,52.8892608773976,"experiment1","best stationary"
2.5,2.5,TRUE,TRUE,1,"SSP1_1_9",58.6108880912831,54.8811515342236,"experiment1","best stationary"
2.5,1,TRUE,TRUE,1,"SSP1_2_6",47.4557870603675,44.6135438860485,"experiment1","best stationary"
2.5,2.5,TRUE,TRUE,1,"SSP1_2_6",58.0542613680567,54.8731778167939,"experiment1","best stationary"
2.5,1,TRUE,TRUE,1,"SSP2_4_5",43.3783452769894,39.9675896926867,"experiment1","best stationary"
2.5,2.5,TRUE,TRUE,1,"SSP2_4_5",56.307965667076,43.0655057595885,"experiment1","best stationary"
2.5,1,TRUE,TRUE,1,"SSP3_7_0",33.120912526752,23.4787348256598,"experiment1","best stationary"
2.5,2.5,TRUE,TRUE,1,"SSP3_7_0",53.3356159600686,51.4058569027511,"experiment1","best stationary"
2.5,1,TRUE,TRUE,1,"SSP5_8_5",27.6992601942393,19.9805246227412,"experiment1","best stationary"
2.5,2.5,TRUE,TRUE,1,"SSP5_8_5",49.970207781153,46.7238971119874,"experiment1","best stationary"
1,1,TRUE,TRUE,1,"SSP1_1_9",52.3451229336074,52.3427744518881,"experiment2","best stationary"
2.5,1,TRUE,TRUE,1,"SSP1_1_9",52.8892608773976,52.886195870779,"experiment2","best stationary"
1,2.5,TRUE,TRUE,1,"SSP1_1_9",55.0656970343153,54.0493447501322,"experiment2","best stationary"
2.5,2.5,TRUE,TRUE,1,"SSP1_1_9",58.6108880912831,54.8833935228548,"experiment2","best stationary"
1,1,TRUE,TRUE,1,"SSP1_2_6",48.8124105441314,48.2651714960394,"experiment2","best stationary"
2.5,1,TRUE,TRUE,1,"SSP1_2_6",47.4557870603675,44.6135438860485,"experiment2","best stationary"
1,2.5,TRUE,TRUE,1,"SSP1_2_6",53.7299250768418,52.7203854941384,"experiment2","best stationary"
2.5,2.5,TRUE,TRUE,1,"SSP1_2_6",58.0542613680567,54.8731778167939,"experiment2","best stationary"
1,1,TRUE,TRUE,1,"SSP2_4_5",45.0757914171424,41.3293835625308,"experiment2","best stationary"
2.5,1,TRUE,TRUE,1,"SSP2_4_5",43.3783452769894,39.9675896926867,"experiment2","best stationary"
1,2.5,TRUE,TRUE,1,"SSP2_4_5",51.6323278158559,42.5203246543245,"experiment2","best stationary"
2.5,2.5,TRUE,TRUE,1,"SSP2_4_5",56.307965667076,43.0655057595885,"experiment2","best stationary"
1,1,TRUE,TRUE,1,"SSP3_7_0",40.230237012741,33.1808398510185,"experiment2","best stationary"
2.5,1,TRUE,TRUE,1,"SSP3_7_0",33.120912526752,23.4787348256598,"experiment2","best stationary"
1,2.5,TRUE,TRUE,1,"SSP3_7_0",49.9371772466502,45.4372917818222,"experiment2","best stationary"
2.5,2.5,TRUE,TRUE,1,"SSP3_7_0",53.3356159600686,51.4058569027511,"experiment2","best stationary"
1,1,TRUE,TRUE,1,"SSP5_8_5",36.6411253414504,30.2762745534972,"experiment2","best stationary"
2.5,1,TRUE,TRUE,1,"SSP5_8_5",27.6992601942393,19.9805246227412,"experiment2","best stationary"
1,2.5,TRUE,TRUE,1,"SSP5_8_5",48.2893637392202,43.6687211740155,"experiment2","best stationary"
2.5,2.5,TRUE,TRUE,1,"SSP5_8_5",49.970207781153,46.7238971119874,"experiment2","best stationary"
1,1,TRUE,TRUE,1,"SSP1_1_9",52.3451229336074,52.3427744518881,"experiment3","best stationary"
1.5,1,TRUE,TRUE,1,"SSP1_1_9",52.8436046604734,52.8424819088474,"experiment3","best stationary"
2,1,TRUE,TRUE,1,"SSP1_1_9",52.883335734314,52.8806029464163,"experiment3","best stationary"
2.5,1,TRUE,TRUE,1,"SSP1_1_9",52.8892608773976,52.886195870779,"experiment3","best stationary"
1,1.5,TRUE,TRUE,1,"SSP1_1_9",54.6199242223172,53.9272930850007,"experiment3","best stationary"
1.5,1.5,TRUE,TRUE,1,"SSP1_1_9",54.8750383022925,54.6703659169488,"experiment3","best stationary"
2,1.5,TRUE,TRUE,1,"SSP1_1_9",54.9108581017125,54.7449085238976,"experiment3","best stationary"
2.5,1.5,TRUE,TRUE,1,"SSP1_1_9",54.9152730177233,54.7515308108202,"experiment3","best stationary"
1,2,TRUE,TRUE,1,"SSP1_1_9",55.0275864497898,54.0402561434858,"experiment3","best stationary"
1.5,2,TRUE,TRUE,1,"SSP1_1_9",56.0756558209029,54.8165431620311,"experiment3","best stationary"
2,2,TRUE,TRUE,1,"SSP1_1_9",56.5231064403388,54.8617531628528,"experiment3","best stationary"
2.5,2,TRUE,TRUE,1,"SSP1_1_9",56.7883857619979,54.864285578434,"experiment3","best stationary"
1,2.5,TRUE,TRUE,1,"SSP1_1_9",55.0656970343153,54.0493447501322,"experiment3","best stationary"
1.5,2.5,TRUE,TRUE,1,"SSP1_1_9",56.3689784242143,54.8226202137195,"experiment3","best stationary"
2,2.5,TRUE,TRUE,1,"SSP1_1_9",57.9037200520287,54.8689722881445,"experiment3","best stationary"
2.5,2.5,TRUE,TRUE,1,"SSP1_1_9",58.6108880912831,54.8833935228548,"experiment3","best stationary"
1,1,TRUE,TRUE,1,"SSP1_2_6",48.8124105441314,48.2674055059888,"experiment3","best stationary"
1.5,1,TRUE,TRUE,1,"SSP1_2_6",47.6422401907219,46.5352265954956,"experiment3","best stationary"
2,1,TRUE,TRUE,1,"SSP1_2_6",47.4950089859127,44.9235587207797,"experiment3","best stationary"
2.5,1,TRUE,TRUE,1,"SSP1_2_6",47.4557870603675,44.6064583539389,"experiment3","best stationary"
1,1.5,TRUE,TRUE,1,"SSP1_2_6",53.084998167359,52.3710592028877,"experiment3","best stationary"
1.5,1.5,TRUE,TRUE,1,"SSP1_2_6",54.2959169034324,54.1121407137584,"experiment3","best stationary"
2,1.5,TRUE,TRUE,1,"SSP1_2_6",54.4569458781232,54.2977111609438,"experiment3","best stationary"
2.5,1.5,TRUE,TRUE,1,"SSP1_2_6",54.469835623835,54.3129274539839,"experiment3","best stationary"
1,2,TRUE,TRUE,1,"SSP1_2_6",53.6813831241044,52.6948323095968,"experiment3","best stationary"
1.5,2,TRUE,TRUE,1,"SSP1_2_6",55.6114466064883,54.5860834240849,"experiment3","best stationary"
2,2,TRUE,TRUE,1,"SSP1_2_6",55.8412163528927,54.835603692423,"experiment3","best stationary"
2.5,2,TRUE,TRUE,1,"SSP1_2_6",55.7444828344389,54.8482555086668,"experiment3","best stationary"
1,2.5,TRUE,TRUE,1,"SSP1_2_6",53.7299250768418,52.7220039942639,"experiment3","best stationary"
1.5,2.5,TRUE,TRUE,1,"SSP1_2_6",55.9513500772862,54.6273804176785,"experiment3","best stationary"
2,2.5,TRUE,TRUE,1,"SSP1_2_6",57.0458729735422,54.8519901890654,"experiment3","best stationary"
2.5,2.5,TRUE,TRUE,1,"SSP1_2_6",58.0542613680567,54.8745083092418,"experiment3","best stationary"
1,1,TRUE,TRUE,1,"SSP2_4_5",45.0757914171424,36.7628466533267,"experiment3","best stationary"
1.5,1,TRUE,TRUE,1,"SSP2_4_5",43.8857794469227,29.7139538012339,"experiment3","best stationary"
2,1,TRUE,TRUE,1,"SSP2_4_5",43.4264652082994,26.8913260101628,"experiment3","best stationary"
2.5,1,TRUE,TRUE,1,"SSP2_4_5",43.3783452769894,26.7200788777748,"experiment3","best stationary"
1,1.5,TRUE,TRUE,1,"SSP2_4_5",50.6327750438596,46.7596434453699,"experiment3","best stationary"
1.5,1.5,TRUE,TRUE,1,"SSP2_4_5",49.5835347197775,47.3501986415817,"experiment3","best stationary"
2,1.5,TRUE,TRUE,1,"SSP2_4_5",49.0268492736996,41.9599978846655,"experiment3","best stationary"
2.5,1.5,TRUE,TRUE,1,"SSP2_4_5",48.8966953256317,39.5910720351468,"experiment3","best stationary"
1,2,TRUE,TRUE,1,"SSP2_4_5",51.5455648638009,47.7505410591063,"experiment3","best stationary"
1.5,2,TRUE,TRUE,1,"SSP2_4_5",53.2748907246901,51.9899620171894,"experiment3","best stationary"
2,2,TRUE,TRUE,1,"SSP2_4_5",53.9173367351703,53.1457404090231,"experiment3","best stationary"
2.5,2,TRUE,TRUE,1,"SSP2_4_5",53.1078674501334,52.1678701826664,"experiment3","best stationary"
1,2.5,TRUE,TRUE,1,"SSP2_4_5",51.6323278158559,47.8309281291585,"experiment3","best stationary"
1.5,2.5,TRUE,TRUE,1,"SSP2_4_5",53.8813001393841,52.3627808695452,"experiment3","best stationary"
2,2.5,TRUE,TRUE,1,"SSP2_4_5",55.8512641427871,54.2426693882595,"experiment3","best stationary"
2.5,2.5,TRUE,TRUE,1,"SSP2_4_5",56.307965667076,54.6480201862823,"experiment3","best stationary"
1,1,TRUE,TRUE,1,"SSP3_7_0",40.230237012741,33.1808398510185,"experiment3","best stationary"
1.5,1,TRUE,TRUE,1,"SSP3_7_0",34.8669265212516,26.1305918889076,"experiment3","best stationary"
2,1,TRUE,TRUE,1,"SSP3_7_0",33.156209646691,23.590477157824,"experiment3","best stationary"
2.5,1,TRUE,TRUE,1,"SSP3_7_0",33.120912526752,23.4787348256598,"experiment3","best stationary"
1,1.5,TRUE,TRUE,1,"SSP3_7_0",48.6456562473852,44.0578470792986,"experiment3","best stationary"
1.5,1.5,TRUE,TRUE,1,"SSP3_7_0",45.7726060528738,40.7493508221527,"experiment3","best stationary"
2,1.5,TRUE,TRUE,1,"SSP3_7_0",41.7719222518254,34.0725478854431,"experiment3","best stationary"
2.5,1.5,TRUE,TRUE,1,"SSP3_7_0",40.660172261936,31.8436508059146,"experiment3","best stationary"
1,2,TRUE,TRUE,1,"SSP3_7_0",49.8244159199094,45.3339063052561,"experiment3","best stationary"
1.5,2,TRUE,TRUE,1,"SSP3_7_0",51.5050609015358,48.458938997532,"experiment3","best stationary"
2,2,TRUE,TRUE,1,"SSP3_7_0",50.1627165989835,46.9385725361353,"experiment3","best stationary"
2.5,2,TRUE,TRUE,1,"SSP3_7_0",48.3391904624178,40.9740942365907,"experiment3","best stationary"
1,2.5,TRUE,TRUE,1,"SSP3_7_0",49.9371772466502,45.4372917818222,"experiment3","best stationary"
1.5,2.5,TRUE,TRUE,1,"SSP3_7_0",52.3351124810056,49.2522960249747,"experiment3","best stationary"
2,2.5,TRUE,TRUE,1,"SSP3_7_0",53.8759380145551,51.649994341995,"experiment3","best stationary"
2.5,2.5,TRUE,TRUE,1,"SSP3_7_0",53.3356159600686,51.4058569027511,"experiment3","best stationary"
1,1,TRUE,TRUE,1,"SSP5_8_5",36.6411253414504,32.7936353305118,"experiment3","best stationary"
1.5,1,TRUE,TRUE,1,"SSP5_8_5",29.7691565884413,21.8440352104779,"experiment3","best stationary"
2,1,TRUE,TRUE,1,"SSP5_8_5",27.7302671450572,20.6688331810623,"experiment3","best stationary"
2.5,1,TRUE,TRUE,1,"SSP5_8_5",27.6992601942393,20.5896574933553,"experiment3","best stationary"
1,1.5,TRUE,TRUE,1,"SSP5_8_5",46.7554118968162,43.3940698748873,"experiment3","best stationary"
1.5,1.5,TRUE,TRUE,1,"SSP5_8_5",41.5847978657536,38.4121798947697,"experiment3","best stationary"
2,1.5,TRUE,TRUE,1,"SSP5_8_5",35.2916419682267,27.8875023422877,"experiment3","best stationary"
2.5,1.5,TRUE,TRUE,1,"SSP5_8_5",33.7044074080218,26.705274814579,"experiment3","best stationary"
1,2,TRUE,TRUE,1,"SSP5_8_5",48.1504689245374,44.5847224941913,"experiment3","best stationary"
1.5,2,TRUE,TRUE,1,"SSP5_8_5",49.5318787410385,46.3797024655807,"experiment3","best stationary"
2,2,TRUE,TRUE,1,"SSP5_8_5",46.1226144827096,42.8701779139003,"experiment3","best stationary"
2.5,2,TRUE,TRUE,1,"SSP5_8_5",40.7500955474699,33.3022000474788,"experiment3","best stationary"
1,2.5,TRUE,TRUE,1,"SSP5_8_5",48.2893637392202,44.6842704428444,"experiment3","best stationary"
