"scen","rEVPI","delta_t_crit_K_min","delta_t_crit_K_max","k"
"SSP1_1_9",2.2488908034328e-06,1,1.15,2
"SSP1_2_6",0.0165911302517338,1,1.15,2
"SSP2_4_5",0.00311674683856662,1,1.15,2
"SSP3_7_0",0.00297545975328401,1,1.15,2
"SSP5_8_5",0.00343521778823555,1,1.15,2
"SSP1_1_9",0.000658404489404302,1,1.3,2
"SSP1_2_6",0.0203578859287654,1,1.3,2
"SSP2_4_5",0.00960678522160051,1,1.3,2
"SSP3_7_0",0.00969377612394265,1,1.3,2
"SSP5_8_5",0.0088695374296565,1,1.3,2
"SSP1_1_9",0.0019507112123844,1,1.45,2
"SSP1_2_6",0.021500765656173,1,1.45,2
"SSP2_4_5",0.0174976140825684,1,1.45,2
"SSP3_7_0",0.0167582585679057,1,1.45,2
"SSP5_8_5",0.0156542740436064,1,1.45,2
"SSP1_1_9",0.00291637500390466,1,1.6,2
"SSP1_2_6",0.0223489664122581,1,1.6,2
"SSP2_4_5",0.0251829181001838,1,1.6,2
"SSP3_7_0",0.024272516962056,1,1.6,2
"SSP5_8_5",0.0230411488216842,1,1.6,2
"SSP1_1_9",0.005883920063514,1,1.75,2
"SSP1_2_6",0.0249015727131094,1,1.75,2
"SSP2_4_5",0.0353004987344125,1,1.75,2
"SSP3_7_0",0.0340823401019266,1,1.75,2
"SSP5_8_5",0.0327800577762298,1,1.75,2
"SSP1_1_9",0.0119334571731361,1,1.9,2
"SSP1_2_6",0.0280451855722996,1,1.9,2
"SSP2_4_5",0.0459623934577143,1,1.9,2
"SSP3_7_0",0.0442408275460029,1,1.9,2
"SSP5_8_5",0.0434977341823123,1,1.9,2
"SSP1_1_9",0.0229840303422382,1,2.05,2
"SSP1_2_6",0.0318105672774778,1,2.05,2
"SSP2_4_5",0.0574027629314225,1,2.05,2
"SSP3_7_0",0.0541311402278284,1,2.05,2
"SSP5_8_5",0.0552941748435688,1,2.05,2
"SSP1_1_9",0.0297207608439584,1,2.2,2
"SSP1_2_6",0.0367116201400428,1,2.2,2
"SSP2_4_5",0.0686920898139724,1,2.2,2
"SSP3_7_0",0.0634952145365723,1,2.2,2
"SSP5_8_5",0.0678436483034275,1,2.2,2
"SSP1_1_9",0.0327156998628967,1,2.35,2
