"delta_t_crit_r_test","delta_t_crit_K_test","sigmoid_bool_r_test","sigmoid_bool_K_test","DEP_EFFECT_test","scen_test","delta_t_crit_r","delta_t_crit_K","sigmoid_bool_r","sigmoid_bool_K","DEP_EFFECT","scen","max_value","r_EVPI","stationary_test"
1,1,FALSE,TRUE,1,"SSP1_1_9",1,1,FALSE,TRUE,1,"SSP1_1_9",36.5949613555947,0.000535077980135675,3
1,1,FALSE,TRUE,1,"SSP1_2_6",1,1,FALSE,TRUE,1,"SSP1_2_6",33.4602533317884,0.0419356416215454,4
1,1,FALSE,TRUE,1,"SSP2_4_5",1,1,FALSE,TRUE,1,"SSP2_4_5",31.2998748792123,0.099648297572351,3
1,1,FALSE,TRUE,1,"SSP3_7_0",1,1,FALSE,TRUE,1,"SSP3_7_0",25.9951221721,0.112334557874324,4
1,1,FALSE,TRUE,1,"SSP5_8_5",1,1,FALSE,TRUE,1,"SSP5_8_5",22.6531055452344,0.109980965224008,4
1,1.15,FALSE,TRUE,1,"SSP1_1_9",1,1.15,FALSE,TRUE,1,"SSP1_1_9",37.304614266596,0.000519277520977911,3
1,1.15,FALSE,TRUE,1,"SSP1_2_6",1,1.15,FALSE,TRUE,1,"SSP1_2_6",35.4087724335352,0.000535395398382731,4
1,1.15,FALSE,TRUE,1,"SSP2_4_5",1,1.15,FALSE,TRUE,1,"SSP2_4_5",32.6711538839686,0.114132969727801,3
1,1.15,FALSE,TRUE,1,"SSP3_7_0",1,1.15,FALSE,TRUE,1,"SSP3_7_0",27.4122804947008,0.123215336212532,4
1,1.15,FALSE,TRUE,1,"SSP5_8_5",1,1.15,FALSE,TRUE,1,"SSP5_8_5",23.9070275413936,0.121474664145006,4
1,1.3,FALSE,TRUE,1,"SSP1_1_9",1,1.3,FALSE,TRUE,1,"SSP1_1_9",37.6631369080365,0.00178676234704026,3
1,1.3,FALSE,TRUE,1,"SSP1_2_6",1,1.3,FALSE,TRUE,1,"SSP1_2_6",36.9288643477607,0.00177725425180269,4
1,1.3,FALSE,TRUE,1,"SSP2_4_5",1,1.3,FALSE,TRUE,1,"SSP2_4_5",33.653511121015,0.128410377761825,3
1,1.3,FALSE,TRUE,1,"SSP3_7_0",1,1.3,FALSE,TRUE,1,"SSP3_7_0",28.7813324042035,0.132641535004093,4
1,1.3,FALSE,TRUE,1,"SSP5_8_5",1,1.3,FALSE,TRUE,1,"SSP5_8_5",25.0881281426195,0.131807574894511,4
1,1.45,FALSE,TRUE,1,"SSP1_1_9",1,1.45,FALSE,TRUE,1,"SSP1_1_9",37.9058252714273,0.00427294389732727,3
1,1.45,FALSE,TRUE,1,"SSP1_2_6",1,1.45,FALSE,TRUE,1,"SSP1_2_6",37.5854502638156,0.00425592783828633,4
1,1.45,FALSE,TRUE,1,"SSP2_4_5",1,1.45,FALSE,TRUE,1,"SSP2_4_5",34.4524870272071,0.143203303167422,3
1,1.45,FALSE,TRUE,1,"SSP3_7_0",1,1.45,FALSE,TRUE,1,"SSP3_7_0",30.1343798176613,0.142459814503572,4
1,1.45,FALSE,TRUE,1,"SSP5_8_5",1,1.45,FALSE,TRUE,1,"SSP5_8_5",26.2565399028412,0.141861568830912,4
1,1.6,FALSE,TRUE,1,"SSP1_1_9",1,1.6,FALSE,TRUE,1,"SSP1_1_9",38.0502125801741,0.0059390668920873,3
1,1.6,FALSE,TRUE,1,"SSP1_2_6",1,1.6,FALSE,TRUE,1,"SSP1_2_6",37.8880752382208,0.00596926599214912,4
1,1.6,FALSE,TRUE,1,"SSP2_4_5",1,1.6,FALSE,TRUE,1,"SSP2_4_5",35.1165163686749,0.100756263753762,4
1,1.6,FALSE,TRUE,1,"SSP3_7_0",1,1.6,FALSE,TRUE,1,"SSP3_7_0",31.3906167279837,0.15539972260928,4
1,1.6,FALSE,TRUE,1,"SSP5_8_5",1,1.6,FALSE,TRUE,1,"SSP5_8_5",27.3431494807072,0.150357594780902,4
1,1.75,FALSE,TRUE,1,"SSP1_1_9",1,1.75,FALSE,TRUE,1,"SSP1_1_9",38.2923351109446,0.0163654624303934,4
1,1.75,FALSE,TRUE,1,"SSP1_2_6",1,1.75,FALSE,TRUE,1,"SSP1_2_6",38.1875926186291,0.010863791663788,4
1,1.75,FALSE,TRUE,1,"SSP2_4_5",1,1.75,FALSE,TRUE,1,"SSP2_4_5",35.8783681742499,0.0607564781217805,4
1,1.75,FALSE,TRUE,1,"SSP3_7_0",1,1.75,FALSE,TRUE,1,"SSP3_7_0",32.6820670492341,0.178517008976053,3
1,1.75,FALSE,TRUE,1,"SSP5_8_5",1,1.75,FALSE,TRUE,1,"SSP5_8_5",28.4729609394434,0.159324373627237,4
1,1.9,FALSE,TRUE,1,"SSP1_1_9",1,1.9,FALSE,TRUE,1,"SSP1_1_9",38.7583790388042,0.00926261294389979,2
1,1.9,FALSE,TRUE,1,"SSP1_2_6",1,1.9,FALSE,TRUE,1,"SSP1_2_6",38.4727664475803,0.0162301084635381,4
1,1.9,FALSE,TRUE,1,"SSP2_4_5",1,1.9,FALSE,TRUE,1,"SSP2_4_5",36.6580986474743,0.0336717173387753,4
1,1.9,FALSE,TRUE,1,"SSP3_7_0",1,1.9,FALSE,TRUE,1,"SSP3_7_0",33.8810559060255,0.14014971487263,4
1,1.9,FALSE,TRUE,1,"SSP5_8_5",1,1.9,FALSE,TRUE,1,"SSP5_8_5",29.5625005462864,0.167599990807615,4
1,2.05,FALSE,TRUE,1,"SSP1_1_9",1,2.05,FALSE,TRUE,1,"SSP1_1_9",39.6142999653304,0,2
1,2.05,FALSE,TRUE,1,"SSP1_2_6",1,2.05,FALSE,TRUE,1,"SSP1_2_6",38.7660304502048,0.0229402157692161,3
1,2.05,FALSE,TRUE,1,"SSP2_4_5",1,2.05,FALSE,TRUE,1,"SSP2_4_5",37.4941064590068,0.0239646607016436,4
1,2.05,FALSE,TRUE,1,"SSP3_7_0",1,2.05,FALSE,TRUE,1,"SSP3_7_0",34.9384360864606,0.131631702913452,4
1,2.05,FALSE,TRUE,1,"SSP5_8_5",1,2.05,FALSE,TRUE,1,"SSP5_8_5",30.6150291187768,0.175113265274007,4
1,2.2,FALSE,TRUE,1,"SSP1_1_9",1,2.2,FALSE,TRUE,1,"SSP1_1_9",40.149734899207,0,2
1,2.2,FALSE,TRUE,1,"SSP1_2_6",1,2.2,FALSE,TRUE,1,"SSP1_2_6",39.1401587131563,0.00907514210286304,2
1,2.2,FALSE,TRUE,1,"SSP2_4_5",1,2.2,FALSE,TRUE,1,"SSP2_4_5",38.3335595138326,0.0290174412692307,4
1,2.2,FALSE,TRUE,1,"SSP3_7_0",1,2.2,FALSE,TRUE,1,"SSP3_7_0",35.8331709332252,0.121549864514945,4
1,2.2,FALSE,TRUE,1,"SSP5_8_5",1,2.2,FALSE,TRUE,1,"SSP5_8_5",31.6133700406813,0.196042202448671,4
1,2.35,FALSE,TRUE,1,"SSP1_1_9",1,2.35,FALSE,TRUE,1,"SSP1_1_9",40.3912754985725,0,2
1,2.35,FALSE,TRUE,1,"SSP1_2_6",1,2.35,FALSE,TRUE,1,"SSP1_2_6",39.8536030751592,0,2
1,2.35,FALSE,TRUE,1,"SSP2_4_5",1,2.35,FALSE,TRUE,1,"SSP2_4_5",38.8576865156547,0.036894070080627,4
1,2.35,FALSE,TRUE,1,"SSP3_7_0",1,2.35,FALSE,TRUE,1,"SSP3_7_0",36.5547244265982,0.109198493235898,4
1,2.35,FALSE,TRUE,1,"SSP5_8_5",1,2.35,FALSE,TRUE,1,"SSP5_8_5",32.5839078255425,0.189964557974956,4
1,2.5,FALSE,TRUE,1,"SSP1_1_9",1,2.5,FALSE,TRUE,1,"SSP1_1_9",40.5032213745418,0,2
1,2.5,FALSE,TRUE,1,"SSP1_2_6",1,2.5,FALSE,TRUE,1,"SSP1_2_6",40.2616397568689,0,2
1,2.5,FALSE,TRUE,1,"SSP2_4_5",1,2.5,FALSE,TRUE,1,"SSP2_4_5",39.1852739004793,0.0366512303104289,3
1,2.5,FALSE,TRUE,1,"SSP3_7_0",1,2.5,FALSE,TRUE,1,"SSP3_7_0",37.1373105379807,0.0961645893831893,4
1,2.5,FALSE,TRUE,1,"SSP5_8_5",1,2.5,FALSE,TRUE,1,"SSP5_8_5",33.4883492416431,0.122915332468778,4
